Planting 2024 Bell Road,,,,,,,,,,DVC-1/DET-36/DDI-01AB,DVC-1/DET-36/DDI-EA62,DVC-1/DET-36/DDI-EA63,DVC-1/DET-36/DDI-EA64,DVC-1/DET-37/DDI-0043,DVC-1/DET-37/DDI-0087,DVC-1/DET-37/DDI-000C,DVC-1/DET-37/DDI-019F,DVC-1/DET-37/DDI-01A1,DVC-1/DET-37/DDI-01A3,DVC-1/DET-37/DDI-EA60,DVC-1/DET-37/DDI-EA6F,DVC-1/DET-37/DDI-01AB,DVC-1/DET-37/DDI-EA62,DVC-1/DET-37/DDI-EA63,DVC-1/DET-37/DDI-EA64,DVC-1/DET-38/DDI-0043,DVC-1/DET-38/DDI-0087,DVC-1/DET-38/DDI-000C,DVC-1/DET-38/DDI-019F,DVC-1/DET-38/DDI-01A1,DVC-1/DET-38/DDI-01A3,DVC-1/DET-38/DDI-EA60,DVC-1/DET-38/DDI-EA6F,DVC-1/DET-38/DDI-01AB,DVC-1/DET-38/DDI-EA62,DVC-1/DET-38/DDI-EA63,DVC-1/DET-38/DDI-EA64,DVC-1/DET-39/DDI-0043,DVC-1/DET-39/DDI-0087,DVC-1/DET-39/DDI-000C,DVC-1/DET-39/DDI-019F,DVC-1/DET-39/DDI-01A1,DVC-1/DET-39/DDI-01A3,DVC-1/DET-39/DDI-EA60,DVC-1/DET-39/DDI-EA6F,DVC-1/DET-39/DDI-01AB,DVC-1/DET-39/DDI-EA62,DVC-1/DET-39/DDI-EA63,DVC-1/DET-39/DDI-EA64,DVC-1/DET-40/DDI-0043,DVC-1/DET-40/DDI-0087,DVC-1/DET-40/DDI-000C,DVC-1/DET-40/DDI-019F,DVC-1/DET-40/DDI-01A1,DVC-1/DET-40/DDI-01A3,DVC-1/DET-40/DDI-EA60,DVC-1/DET-40/DDI-EA6F,DVC-1/DET-40/DDI-01AB,DVC-1/DET-40/DDI-EA62,DVC-1/DET-40/DDI-EA63,DVC-1/DET-40/DDI-EA64,DVC-1/DET-41/DDI-0043,DVC-1/DET-41/DDI-0087,DVC-1/DET-41/DDI-000C,DVC-1/DET-41/DDI-019F,DVC-1/DET-41/DDI-01A1,DVC-1/DET-41/DDI-01A3,DVC-1/DET-41/DDI-EA60,DVC-1/DET-41/DDI-EA6F,DVC-1/DET-41/DDI-01AB,DVC-1/DET-41/DDI-EA62,DVC-1/DET-41/DDI-EA63,DVC-1/DET-41/DDI-EA64,DVC-1/DET-42/DDI-0043,DVC-1/DET-42/DDI-0087,DVC-1/DET-42/DDI-000C,DVC-1/DET-42/DDI-019F,DVC-1/DET-42/DDI-01A1,DVC-1/DET-42/DDI-01A3,DVC-1/DET-42/DDI-EA60,DVC-1/DET-42/DDI-EA6F,DVC-1/DET-42/DDI-01AB,DVC-1/DET-42/DDI-EA62,DVC-1/DET-42/DDI-EA63,DVC-1/DET-42/DDI-EA64,DVC-1/DET-43/DDI-0043,DVC-1/DET-43/DDI-0087,DVC-1/DET-43/DDI-000C,DVC-1/DET-43/DDI-019F,DVC-1/DET-43/DDI-01A1,DVC-1/DET-43/DDI-01A3,DVC-1/DET-43/DDI-EA60,DVC-1/DET-43/DDI-EA6F,DVC-1/DET-43/DDI-01AB,DVC-1/DET-43/DDI-EA62,DVC-1/DET-43/DDI-EA63,DVC-1/DET-43/DDI-EA64,DVC-1/DET-3/DDI-0086,DVC-1/DET-4/DDI-0086,DVC-1/DET-9/DDI-0086,DVC-1/DET-10/DDI-0086,DVC-1/DET-11/DDI-0086,DVC-1/DET-12/DDI-0086,DVC-1/DET-13/DDI-0086,DVC-1/DET-14/DDI-0086,DVC-1/DET-15/DDI-0086,DVC-1/DET-16/DDI-0086,DVC-1/DET-17/DDI-0086,DVC-1/DET-18/DDI-0086,DVC-1/DET-19/DDI-0086,DVC-1/DET-20/DDI-0086,DVC-1/DET-21/DDI-0086,DVC-1/DET-22/DDI-0086,DVC-1/DET-23/DDI-0086,DVC-1/DET-24/DDI-0086,DVC-1/DET-25/DDI-0086,DVC-1/DET-26/DDI-0086,DVC-1/DET-27/DDI-0086,DVC-1/DET-5/DDI-0087,DVC-1/DET-6/DDI-0087,DVC-1/DET-9/DDI-0087,DVC-1/DET-12/DDI-0087,DVC-1/DET-13/DDI-0087,DVC-1/DET-14/DDI-0087,DVC-1/DET-15/DDI-0087,DVC-1/DET-16/DDI-0087,DVC-1/DET-17/DDI-0087,DVC-1/DET-18/DDI-0087,DVC-1/DET-19/DDI-0087,DVC-1/DET-28/DDI-0087,DVC-1/DET-29/DDI-0087,DVC-1/DET-30/DDI-0087,DVC-1/DET-31/DDI-0087,DVC-1/DET-32/DDI-0087,DVC-1/DET-33/DDI-0087,DVC-1/DET-34/DDI-0087,DVC-1/DET-35/DDI-0087,DVC-1/DET-44/DDI-0087,DVC-1/DET-45/DDI-0087,DVC-1/DET-46/DDI-0087,DVC-1/DET-47/DDI-0087,DVC-1/DET-48/DDI-0087,DVC-1/DET-49/DDI-0087,DVC-1/DET-50/DDI-0087,DVC-1/DET-51/DDI-0087,DVC-1/DET-3/DDI-008F,DVC-1/DET-2/DDI-009D,DVC-2000000/DET-2000002/DDI-F23E,DVC-1/DET-4/DDI-016F,DVC-2000000/DET-2000002/DDI-0046,DVC-2000000/DET-2000001/DDI-0086,DVC-2000000/DET-2000001/DDI-0087,DVC-2000000/DET-2000000/DDI-008D,DVC-2000000/DET-2000001/DDI-009D,DVC-1/DET-3/DDI-0052,DVC-1/DET-3/DDI-0074,DVC-1/DET-4/DDI-0050,DVC-1/DET-4/DDI-0074,DVC-1/DET-1/DDI-0077,DVC-1/DET-3/DDI-0077,DVC-1/DET-4/DDI-0077,DVC-2000000/DET-2000002/DDI-F243,DVC-2000000/DET-2000002/DDI-F231,DVC-2000000/DET-2000002/DDI-0096,
 2024-04-16 13:32:27.310,40.6533231,-89.3594775,236.965,0.9,1.7,36, 18:32:27.250Z, 2024-04-16,51,529,840000,690000,,,,8078,793400,,,174800,-88,511,,730000,,,,7469,986700,10000,,163000,44,475,,840000,966400,,,7607,,,,172500,-400,480,840000,870000,,,,7187,,,,163500,-622,484,880000,500000,,,,7067,,46500,,143700,-44,560,840000,910000,,,,4591,,,0,157600,311,489,800000,790000,,,,7326,,,,156000,,560,920000,630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,232280,353,
 2024-04-16 13:32:28.313,40.6533489,-89.3594774,236.879,0.9,1.7,36, 18:32:28.250Z, 2024-04-16,40,,1000000,1000000,,,,8111,,,,177800,-266,,,930000,,,,7477,,,,164300,266,,840000,,,,,7603,,,40000,173800,-311,,1000000,840000,,,,7162,,,,164600,,,920000,970000,,,,7087,,,,145000,,,1000000,790000,961600,,,4631,,,,159600,-266,,1000000,1000000,,,,7356,976900,,,157400,-311,,960000,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,-1,,,,,,,,,,,,,,236506,346,
 2024-04-16 13:32:29.315,40.6533745,-89.3594774,236.805,0.9,1.7,36, 18:32:29.250Z, 2024-04-16,39,,,660000,969300,,,8206,,,175400,179300,-88,,,900000,931000,,,7449,,,,164900,133,,1000000,700000,,,,7585,,,,174700,-444,,,730000,,,,7168,,,,165300,-667,,1000000,860000,,,,7073,,,,146100,88,,,820000,,,,4637,,,,161200,-177,,880000,500000,948700,,,7326,,,,158800,,,1000000,870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,261078,314,
 2024-04-16 13:32:30.319,40.6534,-89.3594772,236.718,0.9,1.7,36, 18:32:30.250Z, 2024-04-16,38,,,760000,,,,8311,782200,33000,192600,180300,177,,,750000,,,,7388,,,,164800,88,,,890000,,,,7616,,,,174900,-311,,,930000,,,,7157,,,,165000,-578,,920000,700000,,,,7085,,,,147300,0,,,750000,,,,4611,654500,345500,,162900,-222,,1000000,570000,,,,7320,,,,158900,0,,,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252635,324,
 2024-04-16 13:32:31.323,40.6534234,-89.3594773,236.753,0.9,1.7,36, 18:32:31.200Z, 2024-04-16,52,542,920000,880000,,,,8356,769000,,204600,180600,88,560,1000000,870000,,,,7407,,,,164200,177,480,,940000,,,,7617,,,,174700,-400,475,,820000,969500,,,7160,,,,164900,-622,547,880000,710000,972400,,,7068,,,,146700,88,529,800000,340000,948000,,,4661,635800,364200,,163600,88,587,840000,600000,,,,7318,,,,160300,222,467,,660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,246588,332,
 2024-04-16 13:32:32.338,40.6534491,-89.3594773,236.792,0.9,1.7,36, 18:32:32.250Z, 2024-04-16,40,,,960000,,,,8490,758300,,,178900,133,,,820000,,,,7426,,,,164300,622,,880000,420000,956200,,,7633,,,,174100,-133,,,,,,,7191,,,,165400,-578,,920000,920000,,,,7058,,,,146900,133,,1000000,960000,,,,4681,624600,375400,,164100,266,,920000,530000,,,,7333,,,,159700,,,,970000,955700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,2,205054,399,
 2024-04-16 13:32:33.344,40.6534739,-89.3594772,236.852,0.9,1.7,36, 18:32:33.250Z, 2024-04-16,43,,1000000,980000,,,,8559,743400,,216600,179400,177,,,980000,,,,7444,,,,164200,133,,1000000,900000,,,,7675,,,30000,175300,-311,,,810000,,,,7228,966800,,,165200,-622,,1000000,800000,,,,7087,,,,146300,222,,,880000,,,,4658,610000,390000,,165400,,,1000000,730000,,,,7334,,,0,160600,88,,,790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,4,198412,413,
 2024-04-16 13:32:34.347,40.6534979,-89.3594772,236.936,0.9,1.7,36, 18:32:34.250Z, 2024-04-16,42,,880000,730000,,,,8641,,43000,,181400,489,,,570000,,,,7443,,,,164000,533,,840000,860000,966400,,,7641,,,,176500,-88,,920000,680000,,,,7225,,,,165700,-489,,760000,500000,962100,,,7093,,,,146500,,,760000,420000,,,,4702,,,,165800,222,,920000,890000,,,,7329,,,,160200,355,,920000,580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,0,194766,421,
 2024-04-16 13:32:35.350,40.653522,-89.3594773,237.049,0.9,1.7,36, 18:32:35.250Z, 2024-04-16,58,404,1000000,890000,,,,8678,755800,,201300,182200,,511,,630000,,,,7460,,,,163800,133,556,920000,810000,,,,7686,,,,175900,-133,471,880000,800000,,,,7218,,,,165400,-622,409,1000000,870000,,,,7074,,,,147000,-44,649,1000000,790000,958600,,,4722,,,,166900,0,556,1000000,710000,,,,7336,,,,159900,444,489,,650000,945700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,,87,,,,,,,858000,115859,0,0,3517,3517,0,3,170162,482,
 2024-04-16 13:32:36.356,40.6535465,-89.3594773,237.153,0.9,1.7,36, 18:32:36.250Z, 2024-04-16,48,404,,1000000,,,,8892,743400,,220000,181700,0,511,,860000,,,,7460,,,,162600,355,556,1000000,1000000,,,,7685,,,43100,176400,-355,471,1000000,900000,959300,,,7184,,,,164500,,409,,510000,,,,7027,943900,,,145300,44,649,920000,540000,,,,4712,,,,167400,-133,556,,790000,,,,7334,,,,159000,667,489,1000000,960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,170823,480,
 2024-04-16 13:32:37.359,40.6535712,-89.3594774,237.276,0.9,1.7,36, 18:32:37.250Z, 2024-04-16,37,,,,,,,8913,,,,181700,-133,,,880000,,,,7473,,,,161900,-88,,,730000,976400,,,7635,,,,176400,-266,,960000,970000,,,,7166,,,,164500,-578,,,850000,,,,7022,,,,144700,88,,880000,1000000,,,,4710,,,,167700,-177,,,620000,,,,7350,,13200,,158600,711,,,1000000,956200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,1,179695,456,
 2024-04-16 13:32:38.366,40.6535965,-89.3594774,237.354,0.9,1.7,36, 18:32:38.250Z, 2024-04-16,38,,,,,,,8802,,,,180900,133,,,970000,,,,7436,,,,161200,0,,840000,780000,,,,7597,,,,176100,-311,,1000000,910000,,,,7162,,36400,,164300,-756,,,1000000,,,,7013,,,,,-44,,1000000,650000,,,,4705,631300,368700,,168100,355,,840000,540000,,,,7362,,,,158200,800,,,860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,0,185707,441,
 2024-04-16 13:32:39.370,40.6536218,-89.3594775,237.427,0.9,1.7,36, 18:32:39.250Z, 2024-04-16,47,604,,,,,,8803,,,,180100,-88,600,,1000000,941100,,,7429,,,,162600,266,707,960000,610000,,,,7606,,,,175000,,498,,1000000,,,,7184,,,,164000,-489,564,920000,470000,,,,7046,,59800,,144400,0,618,800000,1000000,,,,4712,645700,354300,,168800,0,725,1000000,630000,958900,,,7370,,,,157900,889,444,,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,203265,403,
 2024-04-16 13:32:40.372,40.6536468,-89.3594774,237.48,0.9,1.7,36, 18:32:40.250Z, 2024-04-16,40,,,920000,,,,8664,763400,,193300,180200,-177,,,810000,951500,,,7424,,,,162900,355,,1000000,850000,,,,7588,,,,175800,-266,,920000,590000,,,,7202,,,,164000,-622,,,660000,,,,7022,,,,143100,444,,,860000,972000,,,4726,,,,169600,133,,880000,640000,,,,7365,990100,,,157400,800,,,820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,205840,398,
 2024-04-16 13:32:41.375,40.6536717,-89.3594774,237.55,0.9,1.7,36, 18:32:41.250Z, 2024-04-16,49,604,880000,910000,,,,8683,,,,181700,-44,600,,880000,,,,7429,,,,162800,800,707,,940000,,,,7582,,,,174600,-311,498,1000000,880000,,,,7215,,,,163400,-578,564,1000000,890000,,,,7032,,49600,,143300,266,618,1000000,700000,,,,4731,643400,356600,,169900,266,725,960000,750000,,,,7409,,,10000,157100,889,444,,880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,198851,412,
 2024-04-16 13:32:42.378,40.6536982,-89.3594771,237.565,0.9,1.7,36, 18:32:42.300Z, 2024-04-16,41,,1000000,1000000,,,,8562,774200,53100,172700,184000,311,,,840000,940700,,,7424,,,,162900,978,,,880000,,,,7628,,,33100,175300,-355,,,600000,,,,7204,,,,163800,-489,,920000,660000,,,,7005,,,,143800,133,,,930000,,,,4710,632500,367500,,169600,0,,1000000,960000,,,,7423,,,,157200,756,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201555,406,
 2024-04-16 13:32:43.389,40.6537246,-89.3594773,237.609,0.9,1.7,36, 18:32:43.350Z, 2024-04-16,48,533,,810000,,,,8621,788200,,158900,185800,266,511,,790000,926500,,,7429,,,,162900,845,382,,970000,,,,7625,,,,176000,-266,556,880000,580000,949300,,,7230,,,,164000,-533,560,1000000,670000,,,,7013,,,,144000,,507,960000,750000,,,,4684,,,,170600,400,538,880000,770000,,,,7428,,,,157500,533,582,,790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,-1,,,,,,,,,,,,,,220998,371,
 2024-04-16 13:32:44.401,40.6537501,-89.3594772,237.627,0.9,1.7,36, 18:32:44.350Z, 2024-04-16,36,,,880000,,,,8578,,,,186600,44,,,820000,,,,7434,,,,162100,934,,,,,,,7654,,,,174500,-400,,920000,710000,,,,7242,,,,163900,-711,,,910000,,,,7009,,,,145000,-44,,1000000,780000,,,,4687,618000,382000,,170900,133,,1000000,950000,,,,7424,,,,156300,-177,,,960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,237620,345,
 2024-04-16 13:32:45.410,40.6537756,-89.3594772,237.632,0.9,1.7,36, 18:32:45.350Z, 2024-04-16,39,,,1000000,,,,8532,,,,185400,133,,,1000000,,,,7425,,,,161900,1112,,960000,1000000,,,,7602,,,,175800,-266,,800000,420000,,,,7246,976900,23100,,163800,-578,,920000,720000,,,,7011,,,,146200,0,,920000,650000,961400,,,4674,,,,170300,578,,,940000,,,,7396,,,,155400,-222,,,970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,236248,347,
 2024-04-16 13:32:46.417,40.6538009,-89.3594772,237.611,0.9,1.7,36, 18:32:46.350Z, 2024-04-16,72,533,0,0,0,,,8529,0,0,0,0,222,511,0,0,0,,,7408,0,0,,0,978,382,0,0,0,,,7637,0,0,0,0,-222,556,0,0,0,,,7265,0,0,,0,-667,560,0,0,0,,,7016,0,0,,0,-88,507,0,0,0,,,4656,0,0,,0,400,538,0,0,0,,,7410,0,0,0,0,,582,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,242079,338,
 2024-04-16 13:32:47.431,40.6538263,-89.3594773,237.587,0.9,1.7,36, 18:32:47.350Z, 2024-04-16,26,698,,,,,,0,,,,,44,471,,,,,,0,,,,,177,369,,,,,,0,,,,,-44,898,,,,,,0,,,,,-177,667,,,,,,0,,,,,-44,556,,,,,,0,,,,,88,338,,,,,,0,,,,,-88,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,2,250089,327,
 2024-04-16 13:32:48.434,40.6538518,-89.3594773,237.558,0.9,1.7,36, 18:32:48.350Z, 2024-04-16,12,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,-1,,,,,,,,,,,,,0,252378,324,
 2024-04-16 13:32:49.435,40.6538759,-89.3594771,237.5,0.9,1.7,36, 18:32:49.300Z, 2024-04-16,48,,1000000,820000,969000,,,0,,53300,160000,185300,,,1000000,970000,936600,,,0,,,,161900,,,1000000,770000,970000,,,0,,16600,33200,176800,,,1000000,940000,942500,,,0,,23200,,163400,,,1000000,870000,965900,,,0,,46000,,146100,,,1000000,670000,962000,,,0,,368700,,170100,,,360000,940000,968400,,,0,,,,155100,,,1000000,970000,960100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,283216,289,
 2024-04-16 13:32:50.443,40.6539038,-89.3594771,237.46,0.9,1.7,36, 18:32:50.400Z, 2024-04-16,40,,,780000,,,,8495,790000,,,183700,222,,,980000,,,,7440,986800,,,160700,133,,,870000,,,,7654,950400,,,175300,-222,,,870000,,,,7291,973600,,,161700,-400,,,850000,,,,7019,960200,,,144900,44,,,910000,,,,7399,631300,,,168600,400,,400000,710000,,,,7407,986800,,,153500,44,,,600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,262427,312,
 2024-04-16 13:32:51.459,40.6539278,-89.3594769,237.415,0.9,1.7,36, 18:32:51.350Z, 2024-04-16,46,1072,880000,860000,,,,8466,,,,182100,578,435,,690000,,,,7393,,,,159600,355,427,840000,800000,,,,7638,,,,172600,-400,960,,890000,,,,7260,,,,160100,-578,1227,,1000000,,,,7009,,,,143800,444,800,920000,530000,,,,9466,647900,352100,,167100,711,177,1000000,520000,,,,7438,,,,152200,311,511,,810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,268049,305,
 2024-04-16 13:32:52.462,40.6539534,-89.359477,237.358,0.9,1.7,36, 18:32:52.350Z, 2024-04-16,38,,1000000,850000,979500,,,8362,800000,,148500,182100,800,,,870000,,,,7419,,,,160000,,,920000,810000,,,,7565,,,,171400,-222,,960000,960000,,,,7236,,,,160000,,,,510000,,,,7006,,,0,142900,533,,1000000,740000,,,,4516,,,,166100,489,,,870000,984500,,,7460,,,,152100,355,,,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255782,320,
 2024-04-16 13:32:53.465,40.6539789,-89.359477,237.282,0.9,1.7,36, 18:32:53.350Z, 2024-04-16,40,,,910000,,,,8296,,,,182700,845,,,980000,,,,7424,,,13200,160100,88,,1000000,790000,,,,7574,,,,171800,-400,,1000000,780000,,,,7242,,,,160400,-667,,,500000,,,,7026,,,,143000,400,,,850000,,,,4439,630000,370000,,167400,355,,920000,490000,,,,7444,,,10000,151700,-133,,,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,-1,,,,,,,,,,,,,,306466,267,
 2024-04-16 13:32:54.467,40.6540043,-89.3594771,237.23,0.9,1.7,36, 18:32:54.350Z, 2024-04-16,41,,920000,980000,,,,8243,820700,43100,136200,181900,1023,,,1000000,,,,7417,,,,160700,177,,,730000,983200,,,7571,,,,171000,-311,,,870000,,,,7247,,,,160100,-578,,,980000,,,,7039,,,,142700,756,,,900000,975600,,,4679,641500,358500,,167800,622,,1000000,910000,,,,7450,,,,151000,-44,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,281528,291,
 2024-04-16 13:32:55.475,40.65403,-89.3594771,237.144,0.9,1.7,36, 18:32:55.350Z, 2024-04-16,44,462,1000000,960000,,,,8190,810000,,,183600,934,391,,,,,,7404,,,,160500,,524,,970000,,,,7561,,,,171400,,458,920000,860000,,,,7261,,,3300,160900,-667,502,,1000000,,,,7010,,,,144400,845,444,,1000000,,,,4889,654500,345500,,168200,533,529,,1000000,,,,7449,,,,151700,-177,538,,750000,973100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,251418,326,
 2024-04-16 13:32:56.478,40.6540558,-89.3594771,237.051,0.9,1.7,36, 18:32:56.350Z, 2024-04-16,47,462,,1000000,,,,8175,,53300,146600,184700,978,391,,970000,,,,7412,,,,161700,44,524,920000,750000,,,,7555,963700,,23100,173200,-355,458,,760000,952800,,,7244,,,,162000,-622,502,,950000,976100,,,7001,,,,145700,934,444,,940000,,,,4770,,,,168200,222,529,,880000,,,,7445,,,,153500,-222,538,,620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,263001,311,
 2024-04-16 13:32:57.494,40.6540839,-89.3594772,236.944,0.9,1.7,36, 18:32:57.450Z, 2024-04-16,33,,,,,,,8146,796800,66400,,183800,756,,,1000000,,,,7413,,,,161500,,,1000000,860000,,,,7550,,,,173600,,,,630000,,,,7254,,,,161800,-800,,,920000,,,,7031,,,,145300,756,,,1000000,,,,4700,,,0,168300,-88,,,760000,994800,,,7459,,,,152900,,,,870000,983300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280918,291,
 2024-04-16 13:32:58.498,40.6541092,-89.3594771,236.877,0.9,1.7,36, 18:32:58.450Z, 2024-04-16,40,,,980000,,,,8086,810100,,116600,184600,311,,,880000,,,,7404,,,,161100,400,,840000,680000,,,,7546,,,,172900,-266,,1000000,730000,,,,7209,,,,162500,-533,,,900000,,,,7050,,,,145600,934,,960000,,,,,4650,641500,358500,,168400,88,,,1000000,,,,7440,,,,152200,-88,,960000,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,-1,,,,,,,,,,,,,,236246,347,
 2024-04-16 13:32:59.504,40.6541348,-89.3594769,236.818,0.9,1.7,36, 18:32:59.450Z, 2024-04-16,48,453,,840000,,,,7953,,82700,,185300,222,404,,780000,,,,7407,,,,162000,444,458,1000000,580000,,,,7512,,,,172700,-533,542,920000,710000,,,,7198,,,,163300,-711,475,880000,920000,,,,7111,973400,33100,,145800,622,560,1000000,960000,,,,4717,,,,168600,44,502,,730000,,,,7431,,,,152200,-177,369,880000,640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,226544,362,
 2024-04-16 13:33:00.507,40.6541602,-89.3594769,236.747,0.9,1.7,36, 18:33:00.450Z, 2024-04-16,36,,,940000,,,,8015,,,,185600,266,,,820000,,,,7399,,,,162600,177,,,760000,,,,7533,,,,173000,-355,,1000000,920000,941900,,,7195,,,,163000,-578,,1000000,810000,,,,7092,,,,146300,667,,,670000,,,,4710,,,,168800,133,,840000,950000,,,,7420,,,,151700,222,,1000000,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251170,326,
 2024-04-16 13:33:01.509,40.6541857,-89.359477,236.668,0.9,1.7,36, 18:33:01.450Z, 2024-04-16,45,453,,1000000,,,,8033,800000,,,187000,0,404,,430000,923900,,,7419,,,,162500,-266,458,,550000,,,,7506,,,,172700,-311,542,,940000,,,,7205,,,,162800,-800,475,,960000,,,,7079,,,,145900,311,560,,930000,,,,4833,652400,347600,,169100,-133,502,1000000,460000,,,,7430,,,,151500,-177,369,,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,245012,334,
 2024-04-16 13:33:02.512,40.6542112,-89.3594773,236.595,0.9,1.7,36, 18:33:02.450Z, 2024-04-16,37,,,970000,,,,8002,788200,,126600,188600,-177,,,840000,,,,7397,,,,163000,-222,,920000,690000,,,,7564,953600,,,173800,-578,,,830000,,,,7202,,,,162400,-711,,920000,1000000,,,,7057,,,,,266,,,1000000,,,,4812,,,,168900,44,,,790000,,,,7430,,,,150600,133,,920000,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,244729,335,
 2024-04-16 13:33:03.515,40.6542367,-89.3594774,236.523,0.9,1.7,36, 18:33:03.450Z, 2024-04-16,42,569,,950000,,,,7982,,,,189900,-222,533,,470000,,,,7391,,,,162300,,760,1000000,1000000,,,,7539,,,,173100,-444,564,,1000000,,,,7207,,,,161900,-622,507,1000000,970000,,,,7057,,,,146300,,604,,,,,,4786,,,,169800,88,604,,720000,,,,7424,,,0,150300,533,507,1000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,-1,,,,,,,,,,,,,,239428,342,
